"CubeId";"devkum"
"PublishingDate";"2022-06-01 14:30"

"Date";"D0";"D1";"Value"
"2001-01";"M0";"EUR1";"1.5291"
"2001-01";"M0";"GBP1";"2.407"
"2001-01";"M0";"DKK100";"20.481"
"2001-01";"M0";"NOK100";"18.5705"
"2001-01";"M0";"CZK100";"4.3513"
"2001-01";"M0";"HUF100";"0.5767"
"2001-01";"M0";"PLN100";"39.5819"
"2001-01";"M0";"RUB1";"0.0573"
"2001-01";"M0";"SEK100";"17.1767"
"2001-01";"M0";"TRY100";"0.00024"
"2001-01";"M0";"USD1";"1.6291"
"2001-01";"M0";"CAD1";"1.0836"
"2001-01";"M0";"ARS1";"162.9538"
"2001-01";"M0";"BRL100";"83.2381"
"2001-01";"M0";"MXN100";"16.6586"
"2001-01";"M0";"ZAR1";"0.209"
"2001-01";"M0";"JPY100";"1.39328"
"2001-01";"M0";"AUD1";"0.90379"
"2001-01";"M0";"CNY100";"19.6753"
"2001-01";"M0";"HKD100";"20.88582"
"2001-01";"M0";"KRW100";"0.128"
"2001-01";"M0";"MYR100";"42.8657"
"2001-01";"M0";"NZD1";"0.7236"
"2001-01";"M0";"SGD1";"0.9373"
"2001-01";"M0";"THB100";"3.7771"
"2001-01";"M0";"XDR1";"2.1217"
"2001-01";"M0";"USD3M";
"2001-01";"M0";"USD6M";
"2001-02";"M0";"EUR1";"1.5355"
"2001-02";"M0";"GBP1";"2.422"
"2001-02";"M0";"DKK100";"20.567"
"2001-02";"M0";"NOK100";"18.6965"
"2001-02";"M0";"CZK100";"4.4306"
"2001-02";"M0";"HUF100";"0.5777"
"2001-02";"M0";"PLN100";"40.711"
"2001-02";"M0";"RUB1";"0.0582"
"2001-02";"M0";"SEK100";"17.1045"
"2001-02";"M0";"TRY100";"0.00022"
"2001-02";"M0";"USD1";"1.6661"
"2001-02";"M0";"CAD1";"1.0949"
"2001-02";"M0";"ARS1";"166.6355"
"2001-02";"M0";"BRL100";"83.105"
"2001-02";"M0";"MXN100";"17.1525"
"2001-02";"M0";"ZAR1";"0.2132"
"2001-02";"M0";"JPY100";"1.43408"
"2001-02";"M0";"AUD1";"0.8902"
"2001-02";"M0";"CNY100";"20.15145"
"2001-02";"M0";"HKD100";"21.36015"
"2001-02";"M0";"KRW100";"0.133"
"2001-02";"M0";"MYR100";"43.84"
"2001-02";"M0";"NZD1";"0.7241"
"2001-02";"M0";"SGD1";"0.9555"
"2001-02";"M0";"THB100";"3.9048"
"2001-02";"M0";"XDR1";"2.1561"
"2001-02";"M0";"USD3M";
"2001-02";"M0";"USD6M";
"2001-03";"M0";"EUR1";"1.5357"
"2001-03";"M0";"GBP1";"2.4395"
"2001-03";"M0";"DKK100";"20.5673"
"2001-03";"M0";"NOK100";"18.8114"
"2001-03";"M0";"CZK100";"4.4388"
"2001-03";"M0";"HUF100";"0.5761"
"2001-03";"M0";"PLN100";"41.5214"
"2001-03";"M0";"RUB1";"0.0588"
"2001-03";"M0";"SEK100";"16.8123"
"2001-03";"M0";"TRY100";"0.00017"
"2001-03";"M0";"USD1";"1.6878"
"2001-03";"M0";"CAD1";"1.0844"
"2001-03";"M0";"ARS1";"168.8082"
"2001-03";"M0";"BRL100";"80.8409"
"2001-03";"M0";"MXN100";"17.5795"
"2001-03";"M0";"ZAR1";"0.2139"
"2001-03";"M0";"JPY100";"1.39119"
"2001-03";"M0";"AUD1";"0.85048"
"2001-03";"M0";"CNY100";"20.43436"
"2001-03";"M0";"HKD100";"21.63908"
"2001-03";"M0";"KRW100";"0.1307"
"2001-03";"M0";"MYR100";"44.43"
"2001-03";"M0";"NZD1";"0.7058"
"2001-03";"M0";"SGD1";"0.9525"
"2001-03";"M0";"THB100";"3.8412"
"2001-03";"M0";"XDR1";"2.16061"
"2001-03";"M0";"USD3M";
"2001-03";"M0";"USD6M";
"2001-04";"M0";"EUR1";"1.5287"
"2001-04";"M0";"GBP1";"2.4563"
"2001-04";"M0";"DKK100";"20.4774"
"2001-04";"M0";"NOK100";"18.8347"
"2001-04";"M0";"CZK100";"4.423"
"2001-04";"M0";"HUF100";"0.5723"
"2001-04";"M0";"PLN100";"42.52"
"2001-04";"M0";"RUB1";"0.0592"
"2001-04";"M0";"SEK100";"16.7737"
"2001-04";"M0";"TRY100";"0.00014"
"2001-04";"M0";"USD1";"1.712"
"2001-04";"M0";"CAD1";"1.0977"
"2001-04";"M0";"ARS1";"171.2737"
"2001-04";"M0";"BRL100";"77.9895"
"2001-04";"M0";"MXN100";"18.3163"
"2001-04";"M0";"ZAR1";"0.2117"
"2001-04";"M0";"JPY100";"1.38344"
"2001-04";"M0";"AUD1";"0.85564"
"2001-04";"M0";"CNY100";"20.69019"
"2001-04";"M0";"HKD100";"21.94927"
"2001-04";"M0";"KRW100";"0.1289"
"2001-04";"M0";"MYR100";"45.0463"
"2001-04";"M0";"NZD1";"0.6949"
"2001-04";"M0";"SGD1";"0.9445"
"2001-04";"M0";"THB100";"3.7619"
"2001-04";"M0";"XDR1";"2.17255"
"2001-04";"M0";"USD3M";
