Date,E_GT_WMF,E_GT_N,E_GT_R,E_CHEM_WMF,E_CHEM_N,E_CHEM_R,E_ME_WMF,E_ME_N,E_ME_R,E_UHR_WMF,E_UHR_N,E_UHR_R,E_PI_WMF,E_PI_N,E_PI_R,E_MET_WMF,E_MET_N,E_MET_R,E_FZ_WMF,E_FZ_N,E_FZ_R,E_TBS_WMF,E_TBS_N,E_TBS_R,A_GT_WMF,A_GT_N,A_GT_R,A_CHEM_WMF,A_CHEM_N,A_CHEM_R,A_ME_WMF,A_ME_N,A_ME_R,A_UHR_WMF,A_UHR_N,A_UHR_R,A_PI_WMF,A_PI_N,A_PI_R,A_MET_WMF,A_MET_N,A_MET_R,A_FZ_WMF,A_FZ_N,A_FZ_R,A_TBS_WMF,A_TBS_N,A_TBS_R,H_GT_WMF
1997-01-01,8871.63893961,,,1358.07436856,,,1831.44908908,,,92.12756856,,,278.67308009,,,690.17565887,,,937.34285183,,,692.96662513,,,8178.23802043,,,2513.17805166,,,2324.87292965,,,673.00163304,,,463.53237954,,,698.68366598,,,166.08169771,,,326.34418555,,,-693.40091918
1997-02-01,8460.80174495,,,1284.07144099,,,1881.73150595,,,93.72959444,,,272.01869182,,,706.41309351,,,964.97411512,,,714.16800335,,,8233.52836614,,,2279.81943548,,,2454.72817902,,,686.01045927,,,459.72528508,,,750.57276407,,,252.96231757,,,329.65942739,,,-227.27337881
1997-03-01,8409.16877467,,,1382.9263696,,,1873.08921723,,,98.00484115,,,271.29171905,,,711.34462243,,,855.64284533,,,708.73320179,,,8444.56335514,,,2344.63212323,,,2548.90100437,,,761.35447028,,,486.2072436,,,728.41723336,,,209.4343401,,,329.11794988,,,35.39458048
1997-04-01,8668.68694101,,,1449.90510363,,,1920.15613544,,,98.5385278,,,279.72030946,,,753.09705011,,,997.49936278,,,696.01640461,,,8410.48854756,,,2510.53819254,,,2507.28698582,,,655.13902852,,,464.17589144,,,746.09123879,,,196.55988503,,,324.28547404,,,-258.19839345
1997-05-01,8277.24512306,,,1365.64464529,,,1865.97914209,,,107.5163396,,,263.6197933,,,700.35567282,,,896.99548792,,,692.37650446,,,8193.48808489,,,2363.36138496,,,2403.23568313,,,678.48728838,,,456.66728759,,,734.76093387,,,211.27760717,,,329.39357444,,,-83.75703817
1997-06-01,8347.83729662,,,1330.578308,,,1912.49888602,,,106.21085417,,,261.58760344,,,743.4972342,,,934.23469781,,,685.37236959,,,8579.69800408,,,2534.39440059,,,2597.58433782,,,699.58812079,,,470.56186047,,,757.36629361,,,177.06296953,,,324.28869577,,,231.86070746
1997-07-01,8616.44104466,,,1409.5212543,,,1904.96313173,,,104.18459744,,,278.91054807,,,749.51210863,,,1038.01380041,,,694.51765537,,,8594.61875935,,,2491.04744203,,,2586.39047952,,,689.31764307,,,501.88876866,,,752.59875701,,,218.96222327,,,323.54517652,,,-21.82228531
1997-08-01,8789.64466017,,,1461.64230722,,,1951.95502718,,,108.60152597,,,261.43991506,,,752.6073624,,,1129.27569768,,,693.56807606,,,8717.30770187,,,2556.31230121,,,2620.24826379,,,759.39473148,,,497.08744107,,,758.14895919,,,221.82290521,,,321.47825033,,,-72.3369583
1997-09-01,8602.1275963,,,1407.96310258,,,1941.70474687,,,109.50811553,,,274.58447336,,,764.09880725,,,922.55299941,,,700.16633967,,,8638.23055484,,,2396.96851858,,,2679.40343887,,,711.22426416,,,493.19716696,,,771.85478474,,,208.33829502,,,327.52807358,,,36.10295855
1997-10-01,8732.7147298,,,1503.91635808,,,1926.94582973,,,109.63762602,,,270.87684272,,,779.26506678,,,954.8128813,,,717.97317226,,,8806.07690717,,,2525.02276035,,,2682.19210969,,,683.22430177,,,493.13121008,,,795.98300652,,,231.63478573,,,334.66901017,,,73.36217737
