Date,Stock,Returns
2017-08-21,AMC Entertainment (AMC),-0.37878932922231
2017-08-21,Alphabet (GOOG),-0.24855185079353
2017-08-21,Amazon (AMZN),-0.43814313228836
2017-08-21,Apple (AAPL),-1.00940477138028
2017-08-21,Bed Bath & Beyond (BBBY),-0.36324147829838
2017-08-21,BlackBerry (BB),-1.02622745598852
2017-08-21,Clover Health (CLOV),
2017-08-21,Microsoft (MSFT),-0.49422432599679
2017-08-21,Nokia (NOK),-0.32206088250655
2017-08-21,Nvidia (NVDA),-0.8578751867080301
2017-08-21,Tilray (TLRY),
2017-08-21,Virgin Galactic (SPCE),
2017-08-22,AMC Entertainment (AMC),2.28137033792852
2017-08-22,Alphabet (GOOG),1.40853826989404
2017-08-22,Amazon (AMZN),0.7001628191485
2017-08-22,Apple (AAPL),1.3363738162696501
2017-08-22,Bed Bath & Beyond (BBBY),0.47393058447058
2017-08-22,BlackBerry (BB),2.41935519313003
2017-08-22,Clover Health (CLOV),
2017-08-22,Microsoft (MSFT),1.0485574939798001
2017-08-22,Nokia (NOK),0.8077498131745899
2017-08-22,Nvidia (NVDA),-0.09819187794166001
2017-08-22,Tilray (TLRY),
2017-08-22,Virgin Galactic (SPCE),
2017-08-23,AMC Entertainment (AMC),-4.83271098697352
2017-08-23,Alphabet (GOOG),0.43958880079424
2017-08-23,Amazon (AMZN),-0.61265000963202
2017-08-23,Apple (AAPL),0.29375076293944
2017-08-23,Bed Bath & Beyond (BBBY),1.59651865959342
2017-08-23,BlackBerry (BB),-0.44994331055421
2017-08-23,Clover Health (CLOV),
2017-08-23,Microsoft (MSFT),-0.12287867356033999
2017-08-23,Nokia (NOK),0.16026008411285
2017-08-23,Nvidia (NVDA),2.12544189235612
2017-08-23,Tilray (TLRY),
2017-08-23,Virgin Galactic (SPCE),
2017-08-24,AMC Entertainment (AMC),4.53124933643267
2017-08-24,Alphabet (GOOG),0.09786050742741
2017-08-24,Amazon (AMZN),-0.31184556328487
2017-08-24,Apple (AAPL),0.16825840992522
2017-08-24,Bed Bath & Beyond (BBBY),1.78571428571427
2017-08-24,BlackBerry (BB),1.58191393914028
2017-08-24,Clover Health (CLOV),
2017-08-24,Microsoft (MSFT),-0.39644690290915
2017-08-24,Nokia (NOK),-0.48000335693358004
2017-08-24,Nvidia (NVDA),0.61954813792293
2017-08-24,Tilray (TLRY),
2017-08-24,Virgin Galactic (SPCE),
2017-08-25,AMC Entertainment (AMC),-0.9716002490957301
2017-08-25,Alphabet (GOOG),-0.56777042246571
2017-08-25,Amazon (AMZN),-0.14390040259175998
2017-08-25,Apple (AAPL),-0.11198701531583001
2017-08-25,Bed Bath & Beyond (BBBY),-0.59649149576822
2017-08-25,BlackBerry (BB),0.44493840791335
2017-08-25,Clover Health (CLOV),
2017-08-25,Microsoft (MSFT),0.67251970857096
2017-08-25,Nokia (NOK),0.48231850193398
2017-08-25,Nvidia (NVDA),-0.41845824566614
2017-08-25,Tilray (TLRY),
2017-08-25,Virgin Galactic (SPCE),
2017-08-28,AMC Entertainment (AMC),0.0
2017-08-28,Alphabet (GOOG),-0.6817495771728099
2017-08-28,Amazon (AMZN),-0.48244395567554005
2017-08-28,Apple (AAPL),0.89686252074134
2017-08-28,Bed Bath & Beyond (BBBY),-0.67066902424742
2017-08-28,BlackBerry (BB),-0.11073394798682
2017-08-28,Clover Health (CLOV),
2017-08-28,Microsoft (MSFT),-0.35446781409572
2017-08-28,Nokia (NOK),-0.16000366210937
2017-08-28,Nvidia (NVDA),-0.88845942566387
2017-08-28,Tilray (TLRY),
2017-08-28,Virgin Galactic (SPCE),
2017-08-29,AMC Entertainment (AMC),-2.26415238290462
2017-08-29,Alphabet (GOOG),0.44438715854485994
2017-08-29,Amazon (AMZN),0.31479056952428
2017-08-29,Apple (AAPL),0.69135501060957
2017-08-29,Bed Bath & Beyond (BBBY),0.17768708419933998
2017-08-29,BlackBerry (BB),0.5543152386152199
2017-08-29,Clover Health (CLOV),
2017-08-29,Microsoft (MSFT),0.09578236109784001
2017-08-29,Nokia (NOK),-0.48076496909575
2017-08-29,Nvidia (NVDA),0.29073029060828
2017-08-29,Tilray (TLRY),
2017-08-29,Virgin Galactic (SPCE),
2017-08-30,AMC Entertainment (AMC),4.2471057825140806
2017-08-30,Alphabet (GOOG),0.8110874397045
2017-08-30,Amazon (AMZN),1.40272326294206
2017-08-30,Apple (AAPL),0.47204775350058
2017-08-30,Bed Bath & Beyond (BBBY),-0.28378830149152
2017-08-30,BlackBerry (BB),0.44101392722044
2017-08-30,Clover Health (CLOV),
2017-08-30,Microsoft (MSFT),1.43520416867759
2017-08-30,Nokia (NOK),-0.32206088250655
2017-08-30,Nvidia (NVDA),0.33216755989590996
2017-08-30,Tilray (TLRY),
2017-08-30,Virgin Galactic (SPCE),
2017-08-31,AMC Entertainment (AMC),1.48148006863064
2017-08-31,Alphabet (GOOG),1.19904780413084
2017-08-31,Amazon (AMZN),1.19556901559712
2017-08-31,Apple (AAPL),0.38440715428564004
2017-08-31,Bed Bath & Beyond (BBBY),-0.14230136840557
2017-08-31,BlackBerry (BB),2.08562613850764
2017-08-31,Clover Health (CLOV),
2017-08-31,Microsoft (MSFT),1.01064547803899
2017-08-31,Nokia (NOK),0.16154688129628
2017-08-31,Nvidia (NVDA),2.08872637014057
2017-08-31,Tilray (TLRY),
2017-08-31,Virgin Galactic (SPCE),
2017-09-01,AMC Entertainment (AMC),4.74452979017563
